Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210125,2021,01/27/2022,Berlin,517 MAIN ST,137200.00,275000.00,0.4989,Residential,Single Family,,,,POINT (-72.719809028 41.603810015)
210315,2021,06/06/2022,Killingly,25 AMANDA LANE,199640.00,420000.00,0.4753,Residential,Single Family,,,,POINT (-71.900615036 41.830854985)
210123,2021,01/10/2022,Avon,5 CANTERBURY LANE,107540.00,100000.00,1.0754,Residential,Condo,01 - Family,,,POINT (-72.881312963 41.767823995)
210383,2021,09/28/2022,Berlin,20 RED BARN CT,253800.00,479900.00,0.5288,Residential,Single Family,,,,POINT (-72.760422031 41.606045008)
210247,2021,12/01/2021,Bristol,33 EMORY COURT,86590.00,250000.00,0.3463,Residential,Three Family,,,,POINT (-72.949735025 41.669724002)
211057,2021,06/02/2022,Danbury,5 MIRIJO RD,139500.00,326000.00,0.4279,Residential,Single Family,,I07161,,POINT (-73.449984022 41.432465013)
210038,2021,09/06/2022,Hartland,437 HI VIEW RD,146020.00,210000.00,0.6953,Residential,Single Family,,,,POINT (-73.001702993 41.968473011)
211110,2021,08/08/2022,Hamden,41 LEO RD,129430.00,280000.00,0.4622,Residential,Single Family,,,,POINT (-72.894951996 41.351495996)
211362,2021,04/12/2022,Bridgeport,142 COWLES ST #144,133730.00,250000.00,0.5349,Residential,Three Family,,,,POINT (-73.156944976 41.180948993)
211103,2021,07/12/2022,Bristol,"441 CLARK AVE., UNIT #4",55930.00,132000.00,0.4237,Residential,Condo,,,,POINT (-72.984798035 41.681828979)
